question,ground_truth,context,q_type,source_page
一名维修技师计划对一辆氢燃料汽车的供氢管路进行紧固作业。根据标准，他需要遵循哪些具体的安全操作步骤？,他需要先进行整车断电，关闭气瓶手动截止阀，并使用防爆工具对供氢管路进行燃料放空。,"的顺序）对车辆进行通电复位。
5.11　氢燃料汽车的维修、周期维护作业还应满足以下要求：
在燃料电池系统完全停机后进行；a）
对氢燃料汽车的涉氢管路进行紧固、拆装或调整时，先进行整车断电，关闭气瓶手动截止阀，
并使用防爆工具对供氢管路进行燃料放空；
b）
动火作业时，进行氢气浓度检测，确保管路或动火区域内氢气体积分数在安全范围内；c）
在气瓶附近进行动火作业时，先拆下气瓶，对相关涉氢管路进行氮气吹扫，采用密封用品做好
防护，放入专用区域保管，或关闭气瓶手动截止阀，用挡板、石棉布等对气瓶、涉氢管路、阀
门及传感器等部件进行有效隔离后方可进行作业。
d）
5.12　汽车维修技术信息中有其他操作安全和故障防护特殊要求的，还应遵循其相关要求。
6　维护作业项目及要求 
6.1　纯电动汽车
 
6.1.1　日常维护作业项目及要求应按照表1进行。
6.1.2　周期维护作业项目及要求除应按照表1和表2进行外，还应完成4.6确定的附加作业项目。
表1　纯电动汽车日常维护作业项目及要求
 
序号 作业项目 作业内容及要求 
1 仪表、信号指示装置
1）检查仪表外观及指示功能，仪表应完好有效，指示功能应正常；
2）检查信号指示装置，信号指示应无异常声光报警和故障提醒；
3）检查电池荷电状态（SOC）示值或参考行驶里程示值情况，应视情进行充电
2 驱动电机系统
1）检查运行工作状况，运行应平稳，且无异常振动和噪声；
2）检查系统外观及连接管路，表面应清洁，冷却管路应无渗漏现象
3 动力蓄电池冷却系统
1）检查运行工作状况，运行过程中应无异响和渗漏现象；
2）检查冷却液液面高度，视情补给，液面高度应在液位标识的上下限之间
4 充电插座
1）检查充电插座外观，应无烧蚀、破损、异物，内部应清洁和干燥；
2）检查防护盖，防护盖应锁闭完好
5 电器舱、电池舱",multi-hop,8
该标准片段是否规定了在对氢燃料汽车气瓶附近进行动火作业时，必须使用特定品牌或型号的密封用品进行防护？,在该片段中未提及相关规定。,"的顺序）对车辆进行通电复位。
5.11　氢燃料汽车的维修、周期维护作业还应满足以下要求：
在燃料电池系统完全停机后进行；a）
对氢燃料汽车的涉氢管路进行紧固、拆装或调整时，先进行整车断电，关闭气瓶手动截止阀，
并使用防爆工具对供氢管路进行燃料放空；
b）
动火作业时，进行氢气浓度检测，确保管路或动火区域内氢气体积分数在安全范围内；c）
在气瓶附近进行动火作业时，先拆下气瓶，对相关涉氢管路进行氮气吹扫，采用密封用品做好
防护，放入专用区域保管，或关闭气瓶手动截止阀，用挡板、石棉布等对气瓶、涉氢管路、阀
门及传感器等部件进行有效隔离后方可进行作业。
d）
5.12　汽车维修技术信息中有其他操作安全和故障防护特殊要求的，还应遵循其相关要求。
6　维护作业项目及要求 
6.1　纯电动汽车
 
6.1.1　日常维护作业项目及要求应按照表1进行。
6.1.2　周期维护作业项目及要求除应按照表1和表2进行外，还应完成4.6确定的附加作业项目。
表1　纯电动汽车日常维护作业项目及要求
 
序号 作业项目 作业内容及要求 
1 仪表、信号指示装置
1）检查仪表外观及指示功能，仪表应完好有效，指示功能应正常；
2）检查信号指示装置，信号指示应无异常声光报警和故障提醒；
3）检查电池荷电状态（SOC）示值或参考行驶里程示值情况，应视情进行充电
2 驱动电机系统
1）检查运行工作状况，运行应平稳，且无异常振动和噪声；
2）检查系统外观及连接管路，表面应清洁，冷却管路应无渗漏现象
3 动力蓄电池冷却系统
1）检查运行工作状况，运行过程中应无异响和渗漏现象；
2）检查冷却液液面高度，视情补给，液面高度应在液位标识的上下限之间
4 充电插座
1）检查充电插座外观，应无烧蚀、破损、异物，内部应清洁和干燥；
2）检查防护盖，防护盖应锁闭完好
5 电器舱、电池舱",negative,8
在对新能源汽车进行维护时，检查动力蓄电池冷却系统运行工作状况，合格的标准是什么？,运行过程中应无异响和渗漏现象。,"3 动力蓄电池冷却系统
1）检查运行工作状况，运行过程中应无异响和渗漏现象；
2）检查冷却液液面高度，视情补给，液面高度应在液位标识的上下限之间
4 充电插座
1）检查充电插座外观，应无烧蚀、破损、异物，内部应清洁和干燥；
2）检查防护盖，防护盖应锁闭完好
5 电器舱、电池舱
1）检查电器舱舱门和电池舱舱门的关闭状态，舱门锁闭应完好有效；
2）鼻嗅检查，舱体周围应无刺激或烧焦等异味
表2　纯电动汽车周期维护作业项目及要求
 
序号 作业项目 作业内容及要求 
1 整车绝缘
检查整车绝缘电阻监测系统，绝缘电阻监测系统应无报警，如存在异常情况，应逐项排查
并记录，绝缘电阻值应符合GB 18384的规定
2
动力蓄电
池系统
工作状况 读取SOC、电压、温度等参数，应符合汽车维修技术信息中的规定
  GB/T 44510—2024
 
 
3",fact,8
一名维修技师在对一辆纯电动汽车进行周期维护时，需要检查动力蓄电池系统的工作状况。根据标准，他需要读取哪些参数，并且这些参数需要满足什么要求？,需要读取SOC、电压、温度等参数，这些参数应符合汽车维修技术信息中的规定。,"3 动力蓄电池冷却系统
1）检查运行工作状况，运行过程中应无异响和渗漏现象；
2）检查冷却液液面高度，视情补给，液面高度应在液位标识的上下限之间
4 充电插座
1）检查充电插座外观，应无烧蚀、破损、异物，内部应清洁和干燥；
2）检查防护盖，防护盖应锁闭完好
5 电器舱、电池舱
1）检查电器舱舱门和电池舱舱门的关闭状态，舱门锁闭应完好有效；
2）鼻嗅检查，舱体周围应无刺激或烧焦等异味
表2　纯电动汽车周期维护作业项目及要求
 
序号 作业项目 作业内容及要求 
1 整车绝缘
检查整车绝缘电阻监测系统，绝缘电阻监测系统应无报警，如存在异常情况，应逐项排查
并记录，绝缘电阻值应符合GB 18384的规定
2
动力蓄电
池系统
工作状况 读取SOC、电压、温度等参数，应符合汽车维修技术信息中的规定
  GB/T 44510—2024
 
 
3",multi-hop,8
该标准片段是否规定了在检查充电插座时，必须使用特定型号或品牌的绝缘测试仪来测量其绝缘电阻？,在该片段中未提及相关规定。,"3 动力蓄电池冷却系统
1）检查运行工作状况，运行过程中应无异响和渗漏现象；
2）检查冷却液液面高度，视情补给，液面高度应在液位标识的上下限之间
4 充电插座
1）检查充电插座外观，应无烧蚀、破损、异物，内部应清洁和干燥；
2）检查防护盖，防护盖应锁闭完好
5 电器舱、电池舱
1）检查电器舱舱门和电池舱舱门的关闭状态，舱门锁闭应完好有效；
2）鼻嗅检查，舱体周围应无刺激或烧焦等异味
表2　纯电动汽车周期维护作业项目及要求
 
序号 作业项目 作业内容及要求 
1 整车绝缘
检查整车绝缘电阻监测系统，绝缘电阻监测系统应无报警，如存在异常情况，应逐项排查
并记录，绝缘电阻值应符合GB 18384的规定
2
动力蓄电
池系统
工作状况 读取SOC、电压、温度等参数，应符合汽车维修技术信息中的规定
  GB/T 44510—2024
 
 
3",negative,8
根据标准，在对纯电动汽车动力蓄电池系统进行周期维护时，检查冷却液液面高度的合格标准是什么？,液面高度应在液位标识的上下限之间。,"表2　纯电动汽车周期维护作业项目及要求（续）
 序号 作业项目 作业内容及要求 
2
动力蓄电
池系统
外观
1）检查电池舱舱盖，电池舱舱盖应锁闭正常且无变形；
2）检查电池箱壳体表面，壳体表面应无破损、锈蚀和异常变形，无磕碰，无异味和渗漏；
3）检查电池托架结构表面，电池托架结构表面应无断裂、变形和锈蚀；
4）检查电池箱安全阀的外观，阀体应无破损、堵塞；
5）检查系统表面是否存在积尘或杂物，对存在积尘或杂物的，应使用风枪或毛刷进行清
洁，外表面应无积尘或杂物，且干燥；
6）检查电池外部高、低压接口，高、低压接口内部应无水迹、烧蚀等痕迹，低压通信接口
端子应无变形或松动现象；
7）检查高压线束及接插件，高压线束应无破损，与车辆运动部件间应无干涉，接插件应清
洁、无破损；
8）检查动力蓄电池管理系统壳体、连接线束及接插件，壳体及连接线束应清洁、干燥，接
插件应完好，线路布设应无干涉
冷却系统
1）检查冷却液高度，视情补给或更换冷却液，液面高度应在液位标识的上下限之间；
2）检查冷却管路固定情况，软管与硬管连接处应无渗漏，管路布设应无干涉；
3）检查散热器或冷却装置的外观，外观应清洁，连接管路应固定可靠且无泄漏；
4）检查风冷过滤网外观，过滤网应洁净、无破损
紧固
1）检查系统安装固定情况，应固定牢固，动力蓄电池箱体及托架、动力蓄电池管理系统箱
体等固定螺栓的紧固力矩应符合汽车维修技术信息中的规定；
2）检查高压线束、接线柱等连接固定情况，线束及接线柱的连接应固定可靠、无松脱，紧
固动力蓄电池及动力蓄电池管理系统的正负极接线柱固定螺栓，紧固力矩应符合汽车维修
技术信息中的规定；
3）检查线束固定情况、接插件连接情况，线束应固定可靠、无脱落，接插件应锁紧可靠
气密性 按照汽车维修技术信息中的规定进行气密性测试，气密性应符合其规定
3
驱动电机
系统
外观",fact,9
一名维修技师在周期维护中检查动力蓄电池系统，他发现电池箱壳体表面无破损，但高压线束与车辆运动部件有轻微干涉。根据该片段，他应如何操作才能满足标准要求？,他应确保高压线束与车辆运动部件间无干涉，并检查高压线束应无破损，接插件应清洁、无破损。,"表2　纯电动汽车周期维护作业项目及要求（续）
 序号 作业项目 作业内容及要求 
2
动力蓄电
池系统
外观
1）检查电池舱舱盖，电池舱舱盖应锁闭正常且无变形；
2）检查电池箱壳体表面，壳体表面应无破损、锈蚀和异常变形，无磕碰，无异味和渗漏；
3）检查电池托架结构表面，电池托架结构表面应无断裂、变形和锈蚀；
4）检查电池箱安全阀的外观，阀体应无破损、堵塞；
5）检查系统表面是否存在积尘或杂物，对存在积尘或杂物的，应使用风枪或毛刷进行清
洁，外表面应无积尘或杂物，且干燥；
6）检查电池外部高、低压接口，高、低压接口内部应无水迹、烧蚀等痕迹，低压通信接口
端子应无变形或松动现象；
7）检查高压线束及接插件，高压线束应无破损，与车辆运动部件间应无干涉，接插件应清
洁、无破损；
8）检查动力蓄电池管理系统壳体、连接线束及接插件，壳体及连接线束应清洁、干燥，接
插件应完好，线路布设应无干涉
冷却系统
1）检查冷却液高度，视情补给或更换冷却液，液面高度应在液位标识的上下限之间；
2）检查冷却管路固定情况，软管与硬管连接处应无渗漏，管路布设应无干涉；
3）检查散热器或冷却装置的外观，外观应清洁，连接管路应固定可靠且无泄漏；
4）检查风冷过滤网外观，过滤网应洁净、无破损
紧固
1）检查系统安装固定情况，应固定牢固，动力蓄电池箱体及托架、动力蓄电池管理系统箱
体等固定螺栓的紧固力矩应符合汽车维修技术信息中的规定；
2）检查高压线束、接线柱等连接固定情况，线束及接线柱的连接应固定可靠、无松脱，紧
固动力蓄电池及动力蓄电池管理系统的正负极接线柱固定螺栓，紧固力矩应符合汽车维修
技术信息中的规定；
3）检查线束固定情况、接插件连接情况，线束应固定可靠、无脱落，接插件应锁紧可靠
气密性 按照汽车维修技术信息中的规定进行气密性测试，气密性应符合其规定
3
驱动电机
系统
外观",multi-hop,9
该片段是否规定了在对动力蓄电池系统进行气密性测试时，必须使用特定品牌或型号的测试设备？,在该片段中未提及相关规定。,"表2　纯电动汽车周期维护作业项目及要求（续）
 序号 作业项目 作业内容及要求 
2
动力蓄电
池系统
外观
1）检查电池舱舱盖，电池舱舱盖应锁闭正常且无变形；
2）检查电池箱壳体表面，壳体表面应无破损、锈蚀和异常变形，无磕碰，无异味和渗漏；
3）检查电池托架结构表面，电池托架结构表面应无断裂、变形和锈蚀；
4）检查电池箱安全阀的外观，阀体应无破损、堵塞；
5）检查系统表面是否存在积尘或杂物，对存在积尘或杂物的，应使用风枪或毛刷进行清
洁，外表面应无积尘或杂物，且干燥；
6）检查电池外部高、低压接口，高、低压接口内部应无水迹、烧蚀等痕迹，低压通信接口
端子应无变形或松动现象；
7）检查高压线束及接插件，高压线束应无破损，与车辆运动部件间应无干涉，接插件应清
洁、无破损；
8）检查动力蓄电池管理系统壳体、连接线束及接插件，壳体及连接线束应清洁、干燥，接
插件应完好，线路布设应无干涉
冷却系统
1）检查冷却液高度，视情补给或更换冷却液，液面高度应在液位标识的上下限之间；
2）检查冷却管路固定情况，软管与硬管连接处应无渗漏，管路布设应无干涉；
3）检查散热器或冷却装置的外观，外观应清洁，连接管路应固定可靠且无泄漏；
4）检查风冷过滤网外观，过滤网应洁净、无破损
紧固
1）检查系统安装固定情况，应固定牢固，动力蓄电池箱体及托架、动力蓄电池管理系统箱
体等固定螺栓的紧固力矩应符合汽车维修技术信息中的规定；
2）检查高压线束、接线柱等连接固定情况，线束及接线柱的连接应固定可靠、无松脱，紧
固动力蓄电池及动力蓄电池管理系统的正负极接线柱固定螺栓，紧固力矩应符合汽车维修
技术信息中的规定；
3）检查线束固定情况、接插件连接情况，线束应固定可靠、无脱落，接插件应锁紧可靠
气密性 按照汽车维修技术信息中的规定进行气密性测试，气密性应符合其规定
3
驱动电机
系统
外观",negative,9
根据标准，在对驱动电机系统进行外观检查时，对于驱动电机壳体、减速器箱体及驱动电机控制器壳体外表面的要求是什么？,外表面应无积尘、渗漏、裂纹，且应清洁、干燥。,"固动力蓄电池及动力蓄电池管理系统的正负极接线柱固定螺栓，紧固力矩应符合汽车维修
技术信息中的规定；
3）检查线束固定情况、接插件连接情况，线束应固定可靠、无脱落，接插件应锁紧可靠
气密性 按照汽车维修技术信息中的规定进行气密性测试，气密性应符合其规定
3
驱动电机
系统
外观
1）检查驱动电机壳体、减速器箱体及驱动电机控制器壳体外表面，外表面应无积尘、渗
漏、裂纹，且应清洁、干燥；
2）检查高压线束，线束应无破损和老化现象，接线柱应无氧化腐蚀现象；
3）检查连接线束，线束应清洁、干燥且线路布设应无干涉
冷却系统
1）检查冷却液液面高度，视情补给或更换冷却液，液面高度应在液位标识的上下限之间；
2）检查冷却管路的固定情况，软管与硬管连接处应无渗漏，管路布设应无干涉
紧固
1）检查系统安装固定情况，紧固力矩应符合汽车维修技术信息中的规定；
2）检查高压线束、接线柱等连接固定情况，线束及接线柱的连接应固定可靠、无松脱，紧
固驱动电机的三相接线柱、电机控制器的三相接线柱及正负极接线柱的固定螺栓，固定螺
栓的紧固力矩应符合汽车维修技术信息中的规定；
3）检查线束固定情况、接插件连接情况，线束应固定可靠无脱落，接插件应锁紧可靠；
4）视情或按照汽车维修技术信息中规定的里程或时间要求更换轴承，轴承应工作正常，无
异响
润滑系统 检查润滑系统，视情补给或更换润滑油脂，润滑油液位高度应在液位标识的上下限之间
 GB/T 44510—2024
 
 
4",fact,9
一名维修技师在对驱动电机系统进行紧固检查时，需要依据汽车维修技术信息中的规定来执行哪些具体项目的紧固力矩？,需要依据汽车维修技术信息中的规定来执行系统安装固定、驱动电机的三相接线柱、电机控制器的三相接线柱及正负极接线柱的固定螺栓的紧固力矩。,"固动力蓄电池及动力蓄电池管理系统的正负极接线柱固定螺栓，紧固力矩应符合汽车维修
技术信息中的规定；
3）检查线束固定情况、接插件连接情况，线束应固定可靠、无脱落，接插件应锁紧可靠
气密性 按照汽车维修技术信息中的规定进行气密性测试，气密性应符合其规定
3
驱动电机
系统
外观
1）检查驱动电机壳体、减速器箱体及驱动电机控制器壳体外表面，外表面应无积尘、渗
漏、裂纹，且应清洁、干燥；
2）检查高压线束，线束应无破损和老化现象，接线柱应无氧化腐蚀现象；
3）检查连接线束，线束应清洁、干燥且线路布设应无干涉
冷却系统
1）检查冷却液液面高度，视情补给或更换冷却液，液面高度应在液位标识的上下限之间；
2）检查冷却管路的固定情况，软管与硬管连接处应无渗漏，管路布设应无干涉
紧固
1）检查系统安装固定情况，紧固力矩应符合汽车维修技术信息中的规定；
2）检查高压线束、接线柱等连接固定情况，线束及接线柱的连接应固定可靠、无松脱，紧
固驱动电机的三相接线柱、电机控制器的三相接线柱及正负极接线柱的固定螺栓，固定螺
栓的紧固力矩应符合汽车维修技术信息中的规定；
3）检查线束固定情况、接插件连接情况，线束应固定可靠无脱落，接插件应锁紧可靠；
4）视情或按照汽车维修技术信息中规定的里程或时间要求更换轴承，轴承应工作正常，无
异响
润滑系统 检查润滑系统，视情补给或更换润滑油脂，润滑油液位高度应在液位标识的上下限之间
 GB/T 44510—2024
 
 
4",multi-hop,9
该片段是否规定了在检查驱动电机系统冷却液液面高度时，必须使用某一特定品牌或型号的冷却液？,在该片段中未提及相关规定。,"固动力蓄电池及动力蓄电池管理系统的正负极接线柱固定螺栓，紧固力矩应符合汽车维修
技术信息中的规定；
3）检查线束固定情况、接插件连接情况，线束应固定可靠、无脱落，接插件应锁紧可靠
气密性 按照汽车维修技术信息中的规定进行气密性测试，气密性应符合其规定
3
驱动电机
系统
外观
1）检查驱动电机壳体、减速器箱体及驱动电机控制器壳体外表面，外表面应无积尘、渗
漏、裂纹，且应清洁、干燥；
2）检查高压线束，线束应无破损和老化现象，接线柱应无氧化腐蚀现象；
3）检查连接线束，线束应清洁、干燥且线路布设应无干涉
冷却系统
1）检查冷却液液面高度，视情补给或更换冷却液，液面高度应在液位标识的上下限之间；
2）检查冷却管路的固定情况，软管与硬管连接处应无渗漏，管路布设应无干涉
紧固
1）检查系统安装固定情况，紧固力矩应符合汽车维修技术信息中的规定；
2）检查高压线束、接线柱等连接固定情况，线束及接线柱的连接应固定可靠、无松脱，紧
固驱动电机的三相接线柱、电机控制器的三相接线柱及正负极接线柱的固定螺栓，固定螺
栓的紧固力矩应符合汽车维修技术信息中的规定；
3）检查线束固定情况、接插件连接情况，线束应固定可靠无脱落，接插件应锁紧可靠；
4）视情或按照汽车维修技术信息中规定的里程或时间要求更换轴承，轴承应工作正常，无
异响
润滑系统 检查润滑系统，视情补给或更换润滑油脂，润滑油液位高度应在液位标识的上下限之间
 GB/T 44510—2024
 
 
4",negative,9
根据标准，在对纯电动汽车的高压配电系统进行周期维护时，检查主开关通断情况，其开关动作应满足什么要求？,开关动作应灵活，无卡滞现象。,"表2　纯电动汽车周期维护作业项目及要求（续）
 序号 作业项目 作业内容及要求 
4 高压配电系统
1）检查各系统配置及系统箱体外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用
风枪或毛刷对箱体外部、内部各装置及相关插接件表面等进行清洁，外表面应无积尘或杂
物，且干燥；
2）检查主开关通断情况，主开关通断功能应有效，开关动作应灵活，无卡滞现象，紧固熔
断器接线螺母，熔断器接线螺母应固定牢靠；
3）检查系统安装固定情况，紧固高压配电装置及系统箱体的固定螺栓，紧固力矩应符合汽
车维修技术信息中的规定；
4）检查高压线束、接线柱等连接固定情况，线束及接线柱的连接应固定可靠，无松脱；
5）检查线束固定情况、接插件连接情况，线束应固定无脱落，接插件应锁紧可靠
5 高压维修开关
1）检查维修开关工作状态及外观，应无松动，无发热现象，无烧蚀变形；
2）检查固定情况，紧固固定螺栓，紧固力矩应符合汽车维修技术信息中的规定
6 车载充电机
1）检查充电机外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用风枪或毛刷进行
清洁，外表面应无积尘或杂物，且干燥；
2）检查充电工作状态，充电连接应配合正常，充电保护应有效；
3）检查机体安装固定情况，紧固固定螺栓，紧固力矩应符合汽车维修技术信息中的规定；
4）检查高压线束及其接插件之间的连接固定情况，线束及接线柱连接应无松脱
7 电源变换器
检查变换器外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用风枪或毛刷进行清
洁，外表面应无积尘或杂物，且干燥
8 电动空气压缩机
1）检查电机运行状况，电机运行应无异响；
2）检查电机机体和控制器壳体等外表面是否存在积尘或杂物，对存在积尘或杂物的，应使
用风枪或毛刷进行清洁，外表面应无积尘或杂物，且干燥；
3）检查连接线束、接线柱，线束应无破损老化，接线柱应无氧化腐蚀；",fact,10
一名质检工程师在审核一辆纯电动汽车的周期维护记录时，发现记录中只提到“检查了高压配电系统箱体并进行了清洁”，但未提及任何关于紧固力矩的信息。根据该片段，这份记录是否符合标准要求？请说明理由。,不符合标准要求。因为标准规定，在检查高压配电系统安装固定情况时，需要“紧固高压配电装置及系统箱体的固定螺栓，紧固力矩应符合汽车维修技术信息中的规定”。仅记录清洁而未记录紧固力矩检查，作业内容不完整。,"表2　纯电动汽车周期维护作业项目及要求（续）
 序号 作业项目 作业内容及要求 
4 高压配电系统
1）检查各系统配置及系统箱体外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用
风枪或毛刷对箱体外部、内部各装置及相关插接件表面等进行清洁，外表面应无积尘或杂
物，且干燥；
2）检查主开关通断情况，主开关通断功能应有效，开关动作应灵活，无卡滞现象，紧固熔
断器接线螺母，熔断器接线螺母应固定牢靠；
3）检查系统安装固定情况，紧固高压配电装置及系统箱体的固定螺栓，紧固力矩应符合汽
车维修技术信息中的规定；
4）检查高压线束、接线柱等连接固定情况，线束及接线柱的连接应固定可靠，无松脱；
5）检查线束固定情况、接插件连接情况，线束应固定无脱落，接插件应锁紧可靠
5 高压维修开关
1）检查维修开关工作状态及外观，应无松动，无发热现象，无烧蚀变形；
2）检查固定情况，紧固固定螺栓，紧固力矩应符合汽车维修技术信息中的规定
6 车载充电机
1）检查充电机外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用风枪或毛刷进行
清洁，外表面应无积尘或杂物，且干燥；
2）检查充电工作状态，充电连接应配合正常，充电保护应有效；
3）检查机体安装固定情况，紧固固定螺栓，紧固力矩应符合汽车维修技术信息中的规定；
4）检查高压线束及其接插件之间的连接固定情况，线束及接线柱连接应无松脱
7 电源变换器
检查变换器外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用风枪或毛刷进行清
洁，外表面应无积尘或杂物，且干燥
8 电动空气压缩机
1）检查电机运行状况，电机运行应无异响；
2）检查电机机体和控制器壳体等外表面是否存在积尘或杂物，对存在积尘或杂物的，应使
用风枪或毛刷进行清洁，外表面应无积尘或杂物，且干燥；
3）检查连接线束、接线柱，线束应无破损老化，接线柱应无氧化腐蚀；",multi-hop,10
该片段是否规定了在对高压配电系统进行清洁时，必须使用指定品牌或型号的风枪？,在该片段中未提及相关规定。,"表2　纯电动汽车周期维护作业项目及要求（续）
 序号 作业项目 作业内容及要求 
4 高压配电系统
1）检查各系统配置及系统箱体外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用
风枪或毛刷对箱体外部、内部各装置及相关插接件表面等进行清洁，外表面应无积尘或杂
物，且干燥；
2）检查主开关通断情况，主开关通断功能应有效，开关动作应灵活，无卡滞现象，紧固熔
断器接线螺母，熔断器接线螺母应固定牢靠；
3）检查系统安装固定情况，紧固高压配电装置及系统箱体的固定螺栓，紧固力矩应符合汽
车维修技术信息中的规定；
4）检查高压线束、接线柱等连接固定情况，线束及接线柱的连接应固定可靠，无松脱；
5）检查线束固定情况、接插件连接情况，线束应固定无脱落，接插件应锁紧可靠
5 高压维修开关
1）检查维修开关工作状态及外观，应无松动，无发热现象，无烧蚀变形；
2）检查固定情况，紧固固定螺栓，紧固力矩应符合汽车维修技术信息中的规定
6 车载充电机
1）检查充电机外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用风枪或毛刷进行
清洁，外表面应无积尘或杂物，且干燥；
2）检查充电工作状态，充电连接应配合正常，充电保护应有效；
3）检查机体安装固定情况，紧固固定螺栓，紧固力矩应符合汽车维修技术信息中的规定；
4）检查高压线束及其接插件之间的连接固定情况，线束及接线柱连接应无松脱
7 电源变换器
检查变换器外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用风枪或毛刷进行清
洁，外表面应无积尘或杂物，且干燥
8 电动空气压缩机
1）检查电机运行状况，电机运行应无异响；
2）检查电机机体和控制器壳体等外表面是否存在积尘或杂物，对存在积尘或杂物的，应使
用风枪或毛刷进行清洁，外表面应无积尘或杂物，且干燥；
3）检查连接线束、接线柱，线束应无破损老化，接线柱应无氧化腐蚀；",negative,10
根据标准，在对电动空气压缩机进行维护时，检查其电机润滑系统后，润滑油液位高度应满足什么要求？,润滑油液位高度应在液位标识的上下限之间。,"洁，外表面应无积尘或杂物，且干燥
8 电动空气压缩机
1）检查电机运行状况，电机运行应无异响；
2）检查电机机体和控制器壳体等外表面是否存在积尘或杂物，对存在积尘或杂物的，应使
用风枪或毛刷进行清洁，外表面应无积尘或杂物，且干燥；
3）检查连接线束、接线柱，线束应无破损老化，接线柱应无氧化腐蚀；
4）检查控制器连接线束，线束应清洁、干燥且应布线规范；
5）检查电机润滑系统，视情补给或更换润滑油脂，润滑油液位高度应在液位标识的上下限
之间；
6）检查电动空气压缩机管路，管路应无漏气；
7）检查空气滤清器或油滤清器，并按照汽车维修技术信息中规定的里程或时间更换滤清
器，滤清器应清洁且无破损；
8）检查电机机体和控制器壳体安装情况，紧固固定螺栓，紧固力矩应符合汽车维修技术信
息中的规定；
9）检查高压线束、接线柱等连接固定情况，紧固电机三相接线柱固定螺栓，紧固力矩应符
合汽车维修技术信息中的规定；
10）检查控制器线束固定情况、接插件连接情况，线束及接线柱连接应无松脱
9 转向系统
1）检查转向电机工作状况，电机运行应无异响；
2）检查电机机体和控制器壳体外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用
风枪或毛刷进行清洁，外表面应无破损、无腐蚀、无积尘或杂物，且干燥；
3）检查转向电机机体和控制器壳体安装固定情况，紧固力矩应符合汽车维修技术信息中的
规定；
4）检查高压线束、接线柱等连接固定情况，紧固转向电机的三相接线柱、电机控制器的三
相接线柱及正负极接线柱的固定螺栓，紧固力矩应符合汽车维修技术信息中的规定；
5）检查控制器线束固定情况、接插件连接情况，线束应固定无脱落，接插件应锁紧可靠
  GB/T 44510—2024
 
 
5",fact,10
一名维修技师在对转向系统进行周期维护时，需要紧固哪些部件的接线柱固定螺栓？紧固力矩的依据是什么？,需要紧固转向电机的三相接线柱、电机控制器的三相接线柱及正负极接线柱的固定螺栓。紧固力矩应符合汽车维修技术信息中的规定。,"洁，外表面应无积尘或杂物，且干燥
8 电动空气压缩机
1）检查电机运行状况，电机运行应无异响；
2）检查电机机体和控制器壳体等外表面是否存在积尘或杂物，对存在积尘或杂物的，应使
用风枪或毛刷进行清洁，外表面应无积尘或杂物，且干燥；
3）检查连接线束、接线柱，线束应无破损老化，接线柱应无氧化腐蚀；
4）检查控制器连接线束，线束应清洁、干燥且应布线规范；
5）检查电机润滑系统，视情补给或更换润滑油脂，润滑油液位高度应在液位标识的上下限
之间；
6）检查电动空气压缩机管路，管路应无漏气；
7）检查空气滤清器或油滤清器，并按照汽车维修技术信息中规定的里程或时间更换滤清
器，滤清器应清洁且无破损；
8）检查电机机体和控制器壳体安装情况，紧固固定螺栓，紧固力矩应符合汽车维修技术信
息中的规定；
9）检查高压线束、接线柱等连接固定情况，紧固电机三相接线柱固定螺栓，紧固力矩应符
合汽车维修技术信息中的规定；
10）检查控制器线束固定情况、接插件连接情况，线束及接线柱连接应无松脱
9 转向系统
1）检查转向电机工作状况，电机运行应无异响；
2）检查电机机体和控制器壳体外表面是否存在积尘或杂物，对存在积尘或杂物的，应使用
风枪或毛刷进行清洁，外表面应无破损、无腐蚀、无积尘或杂物，且干燥；
3）检查转向电机机体和控制器壳体安装固定情况，紧固力矩应符合汽车维修技术信息中的
规定；
4）检查高压线束、接线柱等连接固定情况，紧固转向电机的三相接线柱、电机控制器的三
相接线柱及正负极接线柱的固定螺栓，紧固力矩应符合汽车维修技术信息中的规定；
5）检查控制器线束固定情况、接插件连接情况，线束应固定无脱落，接插件应锁紧可靠
  GB/T 44510—2024
 
 
5",multi-hop,10
